,Indicator,lowest_entry
0,ANKRUSDT,0.05415
1,AVAXUSDT,57.0
2,WAXPUSDT,0.3174
3,REEFUSDT,0.00806
4,LINKUSDT,14.15
5,ARUSDT,30.0
6,ATOMUSDT,23.0
7,MIRUSDT,2.343
8,ALGOUSDT,0.7046
9,ZRXUSDT,0.5
10,XTZUSDT,2.856
11,KSMUSDT,150.0
12,NEARUSDT,10.32
13,WINUSDT,0.0003138
14,DENTUSDT,0.002459
15,LRCUSDT,0.677
16,CRVUSDT,2.12
17,IMXUSDT,1.3
18,SCRTUSDT,5.0
19,RENUSDT,0.3047
20,SUSHIUSDT,3.5
21,CAKEUSDT,11.24
22,XLMUSDT,0.2109
23,HNTUSDT,30.0
24,OMGUSDT,4.5
25,LINAUSDT,0.01759
26,FLUXUSDT,1.523
27,SRMUSDT,1.8
28,VTHOUSDT,0.0031
29,ANTUSDT,5.616
30,RAYUSDT,2.5
31,ROSEUSDT,0.24055
32,MOVRUSDT,51.6
33,TFUELUSDT,0.18
34,GLMRUSDT,4.5
35,COTIUSDT,0.2277
36,ONEUSDT,0.13171
37,VETUSDT,0.05138
38,RUNEUSDT,3.709
39,CELRUSDT,0.034063
40,ONTUSDT,0.4652
41,GALAUSDT,0.24794
42,GRTUSDT,0.3164
43,DOTUSDT,16.31
44,ZILUSDT,0.0441
45,FILUSDT,20.0
46,SCUSDT,0.011
47,MATICUSDT,1.4
48,FTMUSDT,1.15
49,BANDUSDT,3.6
50,1INCHUSDT,1.6
51,AUDIOUSDT,1.0
52,IOTXUSDT,0.07109
53,CTSIUSDT,0.62
